277,Country:sub-region,BIH,Southern Europe
278,Country:region-code,BIH,150
279,Country:sub-region-code,BIH,039
280,Country:name,BWA,Botswana
281,Country:alpha-2,BWA,BW
282,Country:alpha-3,BWA,BWA
283,Country:country-code,BWA,072
284,Country:iso_3166-2,BWA,ISO 3166-2:BW
285,Country:region,BWA,Africa
286,Country:sub-region,BWA,Sub-Saharan Africa
287,Country:intermediate-region,BWA,Southern Africa
288,Country:region-code,BWA,002
289,Country:sub-region-code,BWA,202
290,Country:intermediate-region-code,BWA,018
291,Country:name,BVT,Bouvet Island
292,Country:alpha-2,BVT,BV
293,Country:alpha-3,BVT,BVT
294,Country:country-code,BVT,074
295,Country:iso_3166-2,BVT,ISO 3166-2:BV
296,Country:region,BVT,Americas
297,Country:sub-region,BVT,Latin America and the Caribbean
298,Country:intermediate-region,BVT,South America
299,Country:region-code,BVT,019
300,Country:sub-region-code,BVT,419
301,Country:intermediate-region-code,BVT,005
302,Country:name,BRA,Brazil
303,Country:alpha-2,BRA,BR
304,Country:alpha-3,BRA,BRA
305,Country:country-code,BRA,076
306,Country:iso_3166-2,BRA,ISO 3166-2:BR
307,Country:region,BRA,Americas
308,Country:sub-region,BRA,Latin America and the Caribbean
309,Country:intermediate-region,BRA,South America
310,Country:region-code,BRA,019
311,Country:sub-region-code,BRA,419
312,Country:intermediate-region-code,BRA,005
313,Country:name,IOT,British Indian Ocean Territory
314,Country:alpha-2,IOT,IO
315,Country:alpha-3,IOT,IOT
316,Country:country-code,IOT,086
317,Country:iso_3166-2,IOT,ISO 3166-2:IO
318,Country:region,IOT,Africa
319,Country:sub-region,IOT,Sub-Saharan Africa
320,Country:intermediate-region,IOT,Eastern Africa
321,Country:region-code,IOT,002
322,Country:sub-region-code,IOT,202
323,Country:intermediate-region-code,IOT,014
324,Country:name,BRN,Brunei Darussalam
325,Country:alpha-2,BRN,BN
326,Country:alpha-3,BRN,BRN
327,Country:country-code,BRN,096
328,Country:iso_3166-2,BRN,ISO 3166-2:BN
329,Country:region,BRN,Asia
330,Country:sub-region,BRN,South-eastern Asia
331,Country:region-code,BRN,142
332,Country:sub-region-code,BRN,035
333,Country:name,BGR,Bulgaria
334,Country:alpha-2,BGR,BG
335,Country:alpha-3,BGR,BGR
336,Country:country-code,BGR,100
337,Country:iso_3166-2,BGR,ISO 3166-2:BG
338,Country:region,BGR,Europe
339,Country:sub-region,BGR,Eastern Europe
340,Country:region-code,BGR,150
341,Country:sub-region-code,BGR,151
342,Country:name,BFA,Burkina Faso
343,Country:alpha-2,BFA,BF
344,Country:alpha-3,BFA,BFA
345,Country:country-code,BFA,854
346,Country:iso_3166-2,BFA,ISO 3166-2:BF
347,Country:region,BFA,Africa
348,Country:sub-region,BFA,Sub-Saharan Africa
349,Country:intermediate-region,BFA,Western Africa
350,Country:region-code,BFA,002
351,Country:sub-region-code,BFA,202
352,Country:intermediate-region-code,BFA,011
353,Country:name,BDI,Burundi
354,Country:alpha-2,BDI,BI
355,Country:alpha-3,BDI,BDI
356,Country:country-code,BDI,108
357,Country:iso_3166-2,BDI,ISO 3166-2:BI
358,Country:region,BDI,Africa
359,Country:sub-region,BDI,Sub-Saharan Africa
360,Country:intermediate-region,BDI,Eastern Africa
361,Country:region-code,BDI,002
362,Country:sub-region-code,BDI,202
363,Country:intermediate-region-code,BDI,014
364,Country:name,CPV,Cabo Verde
365,Country:alpha-2,CPV,CV
366,Country:alpha-3,CPV,CPV
367,Country:country-code,CPV,132
368,Country:iso_3166-2,CPV,ISO 3166-2:CV
369,Country:region,CPV,Africa
370,Country:sub-region,CPV,Sub-Saharan Africa
371,Country:intermediate-region,CPV,Western Africa
372,Country:region-code,CPV,002
373,Country:sub-region-code,CPV,202
374,Country:intermediate-region-code,CPV,011
375,Country:name,KHM,Cambodia
376,Country:alpha-2,KHM,KH
377,Country:alpha-3,KHM,KHM
378,Country:country-code,KHM,116
379,Country:iso_3166-2,KHM,ISO 3166-2:KH
380,Country:region,KHM,Asia
381,Country:sub-region,KHM,South-eastern Asia
382,Country:region-code,KHM,142
383,Country:sub-region-code,KHM,035
384,Country:name,CMR,Cameroon
385,Country:alpha-2,CMR,CM
386,Country:alpha-3,CMR,CMR
387,Country:country-code,CMR,120
388,Country:iso_3166-2,CMR,ISO 3166-2:CM
389,Country:region,CMR,Africa
390,Country:sub-region,CMR,Sub-Saharan Africa
391,Country:intermediate-region,CMR,Middle Africa
392,Country:region-code,CMR,002
393,Country:sub-region-code,CMR,202
394,Country:intermediate-region-code,CMR,017
395,Country:name,CAN,Canada
396,Country:alpha-2,CAN,CA
397,Country:alpha-3,CAN,CAN
398,Country:country-code,CAN,124
399,Country:iso_3166-2,CAN,ISO 3166-2:CA
400,Country:region,CAN,Americas
401,Country:sub-region,CAN,Northern America
402,Country:region-code,CAN,019
403,Country:sub-region-code,CAN,021
404,Country:name,CYM,Cayman Islands
405,Country:alpha-2,CYM,KY
406,Country:alpha-3,CYM,CYM
407,Country:country-code,CYM,136
408,Country:iso_3166-2,CYM,ISO 3166-2:KY
409,Country:region,CYM,Americas
410,Country:sub-region,CYM,Latin America and the Caribbean
411,Country:intermediate-region,CYM,Caribbean
412,Country:region-code,CYM,019
413,Country:sub-region-code,CYM,419
414,Country:intermediate-region-code,CYM,029
415,Country:name,CAF,Central African Republic
416,Country:alpha-2,CAF,CF
417,Country:alpha-3,CAF,CAF
418,Country:country-code,CAF,140
419,Country:iso_3166-2,CAF,ISO 3166-2:CF
420,Country:region,CAF,Africa
421,Country:sub-region,CAF,Sub-Saharan Africa
422,Country:intermediate-region,CAF,Middle Africa
423,Country:region-code,CAF,002
424,Country:sub-region-code,CAF,202
425,Country:intermediate-region-code,CAF,017
426,Country:name,TCD,Chad
427,Country:alpha-2,TCD,TD
428,Country:alpha-3,TCD,TCD
429,Country:country-code,TCD,148
430,Country:iso_3166-2,TCD,ISO 3166-2:TD
431,Country:region,TCD,Africa
432,Country:sub-region,TCD,Sub-Saharan Africa
433,Country:intermediate-region,TCD,Middle Africa
434,Country:region-code,TCD,002
435,Country:sub-region-code,TCD,202
436,Country:intermediate-region-code,TCD,017
437,Country:name,CHL,Chile
438,Country:alpha-2,CHL,CL
439,Country:alpha-3,CHL,CHL
440,Country:country-code,CHL,152
441,Country:iso_3166-2,CHL,ISO 3166-2:CL
442,Country:region,CHL,Americas
443,Country:sub-region,CHL,Latin America and the Caribbean
444,Country:intermediate-region,CHL,South America
445,Country:region-code,CHL,019
446,Country:sub-region-code,CHL,419
447,Country:intermediate-region-code,CHL,005
448,Country:name,CHN,China
449,Country:alpha-2,CHN,CN
450,Country:alpha-3,CHN,CHN
451,Country:country-code,CHN,156
452,Country:iso_3166-2,CHN,ISO 3166-2:CN
453,Country:region,CHN,Asia
454,Country:sub-region,CHN,Eastern Asia
455,Country:region-code,CHN,142
456,Country:sub-region-code,CHN,030
457,Country:name,CXR,Christmas Island
458,Country:alpha-2,CXR,CX
459,Country:alpha-3,CXR,CXR
